fips,state_votes,state_po,county_votes,trump_share,trumpvotes,totalvotes,county_income,income_per_capita,county_college,percent_college,county_demographics,percent_male,percent_black,percent_hispanic,population,percent_under_5,percent_5_9,percent_10_14,percent_15_19,percent_20_24,percent_25_34,percent_35_44,percent_45_54,percent_55_59,percent_60_64,percent_65_74,percent_75_84,percent_85_over,percent_14_under,percent_15_24,percent_55_64,percent_75_over,county_industry,percent_retail,percent_transportation,percent_hes,county_rural,pop_rural,total_pop,percent_rural,pop_with_char,county_rural_housing,housing_rural,total_housing,percent_housing_rural,housing_with_char
1001,Alabama,AL,Autauga,0.7276658791494814,18172,24973,"Autauga County, Alabama",29372,"Autauga County, Alabama",27.7,"Autauga County, Alabama",48.7,19.9,2.8,55200,5.9,7.3,6.5,7,6,12.8,13.4,14.2,7.5,4.9,8.5,4.6,1.5,19.7,13,12.4,6.1,"Autauga County, Alabama",8.9,7,20.1,"Autauga County, Alabama",22921,54571,0.42002162320646497,FALSE,"Autauga County, Alabama",9494,22135,0.428913485430314,FALSE
1003,Alabama,AL,Baldwin,0.765457123352413,72883,95215,"Baldwin County, Alabama",31203,"Baldwin County, Alabama",31.3,"Baldwin County, Alabama",48.6,9.8,4.5,208107,5.6,5.6,6.9,6.1,5.2,11.2,12.2,13.6,6.9,7.1,11.8,5.8,1.9,18.1,11.3,14,7.699999999999999,"Baldwin County, Alabama",13.7,4.9,20.1,"Baldwin County, Alabama",77060,182265,0.4227909911392752,FALSE,"Baldwin County, Alabama",43269,104061,0.4158041917721337,FALSE
1005,Alabama,AL,Barbour,0.5209666634826631,5454,10469,"Barbour County, Alabama",18461,"Barbour County, Alabama",12.2,"Barbour County, Alabama",53.1,48.5,4.3,25782,5.4,5.6,6.5,5.6,6.4,14.3,12,13.4,6.4,6.4,10.9,5.4,1.6,17.5,12,12.8,7,"Barbour County, Alabama",10.6,6.9,18.6,"Barbour County, Alabama",18613,27457,0.6778963470153331,FALSE,"Barbour County, Alabama",7836,11829,0.6624397666751205,TRUE
1007,Alabama,AL,Bibb,0.7640322031976414,6738,8819,"Bibb County, Alabama",20199,"Bibb County, Alabama",11.5,"Bibb County, Alabama",53.9,22.7,2.4,22527,5.7,5.2,5.7,6.7,6.6,13.7,12.9,15.3,6.6,5.4,9.4,4.9,1.9,16.6,13.3,12,6.800000000000001,"Bibb County, Alabama",9.1,4.9,22.8,"Bibb County, Alabama",15663,22915,0.683526074623609,FALSE,"Bibb County, Alabama",6832,8981,0.7607170693686672,FALSE
1009,Alabama,AL,Blount,0.8933484445833985,22859,25588,"Blount County, Alabama",22656,"Blount County, Alabama",12.6,"Blount County, Alabama",49.3,1.9,9.1,57645,6,6.3,6.9,6.4,5.5,11.8,12.4,13.8,6.8,6.3,10.6,5.6,1.5,19.200000000000003,11.9,13.1,7.1,"Blount County, Alabama",11.8,6.9,19.7,"Blount County, Alabama",51562,57322,0.8995150204110115,FALSE,"Blount County, Alabama",21500,23887,0.900071168417968,FALSE
1011,Alabama,AL,Bullock,0.24203821656050956,1140,4710,"Bullock County, Alabama",20346,"Bullock County, Alabama",13.3,"Bullock County, Alabama",54.7,76.2,0.5,10352,5.8,6.1,5.2,7.5,6.8,10.8,15.4,12.8,5.7,8.2,9.8,4.2,1.7,17.099999999999998,14.3,13.899999999999999,5.9,"Bullock County, Alabama",6.5,5.2,16.2,"Bullock County, Alabama",5607,10914,0.5137438152831226,FALSE,"Bullock County, Alabama",2922,4493,0.6503449810816826,FALSE
1013,Alabama,AL,Butler,0.5612688960146587,4901,8732,"Butler County, Alabama",20430,"Butler County, Alabama",16.1,"Butler County, Alabama",46.8,46,0.3,20025,6,6.5,6.4,6.5,5.4,12.1,12,12.1,7.3,6.8,10.4,5.8,2.8,18.9,11.9,14.1,8.6,"Butler County, Alabama",11.2,4.6,20.4,"Butler County, Alabama",14921,20947,0.7123215734950112,FALSE,"Butler County, Alabama",7196,9964,0.7221999197109594,FALSE
1015,Alabama,AL,Calhoun,0.6866329600534848,32865,47864,"Calhoun County, Alabama",24706,"Calhoun County, Alabama",18,"Calhoun County, Alabama",48.1,21.8,3.7,115098,5.7,5.9,6.2,6.8,6.6,13,12,13,6.8,7,10,5.1,1.8,17.8,13.399999999999999,13.8,6.8999999999999995,"Calhoun County, Alabama",12.6,4.6,21.7,"Calhoun County, Alabama",39955,118572,0.3369682555746719,FALSE,"Calhoun County, Alabama",17246,53289,0.3236315186999193,FALSE
1017,Alabama,AL,Chambers,0.5642446043165468,7843,13900,"Chambers County, Alabama",22827,"Chambers County, Alabama",13.2,"Chambers County, Alabama",48.1,40.1,2.3,33826,5.8,5.1,6.2,5.8,7.5,10.9,11.7,13.7,7.8,6.5,11.2,5.7,2.1,17.099999999999998,13.3,14.3,7.800000000000001,"Chambers County, Alabama",10.4,3.6,18.8,"Chambers County, Alabama",16816,34215,0.4914803448779775,FALSE,"Chambers County, Alabama",7987,17004,0.46971300870383437,FALSE
1019,Alabama,AL,Cherokee,0.8341563402590143,8953,10733,"Cherokee County, Alabama",23356,"Cherokee County, Alabama",12.9,"Cherokee County, Alabama",49.6,5.2,1.5,25853,4.7,5.7,5.9,6.2,5.3,9.8,11.3,14.1,7.9,7.4,13.3,6.6,1.9,16.3,11.5,15.3,8.5,"Cherokee County, Alabama",11,7.4,23.3,"Cherokee County, Alabama",22282,25989,0.8573627303859325,FALSE,"Cherokee County, Alabama",14323,16267,0.8804942521669638,FALSE
