ItemCatID,Category,ProductType,Brand,BrandType,Cond
1,Paper Towels,Utilitarian,Paper Towels,NoBrand,1
2,College T-shirts,Symbolic,College T-shirts,NoBrand,1
3,American Flags,Symbolic,American Flags,NoBrand,1
4,Toothpaste,Utilitarian,Toothpaste,NoBrand,1
5,Class Rings,Symbolic,Class Rings,NoBrand,1
6,Vitamins,Utilitarian,Vitamins,NoBrand,1
7,Cough Syrup,Utilitarian,Cough Syrup,NoBrand,1
8,Greeting Cards,Symbolic,Greeting Cards,NoBrand,1
1,Paper Towels,Utilitarian,Paper Towels,NoBrand,2
2,College T-shirts,Symbolic,College T-shirts,NoBrand,2
3,American Flags,Symbolic,American Flags,NoBrand,2
4,Toothpaste,Utilitarian,Toothpaste,NoBrand,2
5,Class Rings,Symbolic,Class Rings,NoBrand,2
6,Vitamins,Utilitarian,Vitamins,NoBrand,2
7,Cough Syrup,Utilitarian,Cough Syrup,NoBrand,2
8,Greeting Cards,Symbolic,Greeting Cards,NoBrand,2
1,Paper Towels,Utilitarian,Brawny,BrandA,3
2,College T-shirts,Symbolic,Jerzees,BrandA,3
3,American Flags,Symbolic,American Flags Express,BrandA,3
4,Toothpaste,Utilitarian,Crest,BrandA,3
5,Class Rings,Symbolic,Jostens,BrandA,3
6,Vitamins,Utilitarian,One-a-Day,BrandA,3
7,Cough Syrup,Utilitarian,Robitussin,BrandA,3
8,Greeting Cards,Symbolic,American Greetings,BrandA,3
1,Paper Towels,Utilitarian,Bounty,BrandB,4
2,College T-shirts,Symbolic,Champion,BrandB,4
3,American Flags,Symbolic,FlagCo,BrandB,4
4,Toothpaste,Utilitarian,Colgate,BrandB,4
5,Class Rings,Symbolic,ArtCarved,BrandB,4
6,Vitamins,Utilitarian,Centrum,BrandB,4
7,Cough Syrup,Utilitarian,Comtrex,BrandB,4
8,Greeting Cards,Symbolic,Hallmark,BrandB,4
