StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1,1_Util...11,1_Symbol...12,1_Bipol...13,2_Util...14,2_Symbol...15,2_Bipol...16,3_Util...17,3_Symbol...18,3_Bipol...19,4_Util...20,4_Symbol...21,4_Bipol...22,5_Util...23,5_Symbol...24,5_Bipol...25,6_Util...26,6_Symbol...27,6_Bipol...28,7_Util...29,7_Symbol...30,7_Bipol...31,8_Util...32,8_Symbol...33,8_Bipol...34,1_Util...35,1_Symbol...36,1_Bipol...37,2_Util...38,2_Symbol...39,2_Bipol...40,3_Util...41,3_Symbol...42,3_Bipol...43,4_Util...44,4_Symbol...45,4_Bipol...46,5_Util...47,5_Symbol...48,5_Bipol...49,6_Util...50,6_Symbol...51,6_Bipol...52,7_Util...53,7_Symbol...54,7_Bipol...55,8_Util...56,8_Symbol...57,8_Bipol...58,1_Util...59,1_Symbol...60,1_Bipol...61,2_Util...62,2_Symbol...63,2_Bipol...64,3_Util...65,3_Symbol...66,3_Bipol...67,4_Util...68,4_Symbol...69,4_Bipol...70,5_Util...71,5_Symbol...72,5_Bipol...73,6_Util...74,6_Symbol...75,6_Bipol...76,7_Util...77,7_Symbol...78,7_Bipol...79,8_Util...80,8_Symbol...81,8_Bipol...82,Attention1,Familiarity_1,Familiarity_2,Familiarity_3,Familiarity_4,Familiarity_5,Familiarity_6,Familiarity_7,Familiarity_8,Familiarity_9,Familiarity_10,Familiarity_11,Familiarity_12,Familiarity_13,Familiarity_14,Familiarity_15,Familiarity_16,Familiarity_17,Familiarity_18,Familiarity_19,Familiarity_20,Familiarity_21,Familiarity_22,Familiarity_23,Familiarity_24,Attention2,screenQ,Cond,dataset
11/3/20 7:46,11/3/20 7:50,0,100,218,1,11/3/20 7:50,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,4,6,5,6,7,7,7,1,1,1,7,7,7,1,1,7,1,1,5,4,4,7,7,7,7,7,7,7,7,7,7,1,7,7,5,7,7,1,7,7,4,7,1,1,1,7,1,2,4,1
11/3/20 8:41,11/3/20 8:48,0,100,370,1,11/3/20 8:48,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,3,7,6,5,5,3,7,1,1,6,3,2,6,3,3,7,1,2,3,5,5,7,7,7,7,7,7,7,7,7,7,2,3,7,1,3,6,3,7,7,3,7,1,3,3,7,1,2,4,1
11/3/20 7:07,11/3/20 8:53,0,100,6332,1,11/3/20 8:53,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,5,5,4,6,5,5,4,4,4,4,4,5,4,3,4,4,4,4,5,4,7,7,7,7,7,5,5,5,6,4,5,4,7,6,4,4,4,7,7,4,7,4,5,5,6,1,2,4,1
11/3/20 11:09,11/3/20 11:12,0,100,163,1,11/3/20 11:12,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,7,7,7,5,5,5,7,4,6,7,6,6,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,3,7,6,7,1,2,4,1
11/3/20 13:33,11/3/20 13:38,0,100,332,1,11/3/20 13:38,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,7,6,2,7,7,7,1,1,1,7,7,7,1,1,7,1,1,7,7,4,7,7,7,7,7,6,7,7,7,7,1,1,7,6,7,6,7,7,7,1,7,1,7,1,7,1,2,4,1
11/3/20 13:37,11/3/20 13:41,0,100,217,1,11/3/20 13:41,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,4,5,3,3,7,6,6,1,1,1,2,3,3,3,2,2,2,7,7,4,7,7,7,7,7,7,7,7,7,7,3,2,7,5,7,7,3,7,7,3,7,3,5,4,7,1,2,4,1
11/3/20 13:37,11/3/20 13:41,0,100,228,1,11/3/20 13:41,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,5,5,5,3,2,6,2,6,1,5,2,6,2,6,2,2,6,2,3,2,5,2,7,5,7,7,7,6,7,7,7,7,3,2,7,7,5,7,5,7,7,7,7,2,2,2,7,1,2,4,1
11/3/20 13:37,11/3/20 13:41,0,100,265,1,11/3/20 13:41,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,7,5,1,7,6,6,3,2,1,7,7,7,2,1,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,3,7,2,7,7,7,1,2,4,1
11/3/20 13:37,11/3/20 13:42,0,100,264,1,11/3/20 13:42,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,6,6,4,3,3,7,6,6,4,4,4,4,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,4,7,7,7,7,7,6,2,3,7,1,2,4,1
11/3/20 13:37,11/3/20 13:42,0,100,308,1,11/3/20 13:42,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,7,4,7,7,4,7,2,1,1,7,7,7,3,2,7,1,1,1,7,6,7,7,7,7,7,7,7,7,7,7,2,7,7,4,7,5,2,7,7,4,7,4,3,3,7,1,2,4,1
